theme_desagregat;Total històric;'70'-'80;'90-'00;'10-'20
Military;150;18;59;79
Childcare;23;0;5;19
Gore;45;1;14;31
Survival;22;0;2;20
Psychological;118;0;58;61
Time Travel;34;0;10;25
Gag Humor;80;0;27;56
Historical;200;11;61;131
Parody;78;0;33;50
Samurai;46;0;14;34
Adult Cast;121;9;53;61
Space;86;20;41;28
Romantic Subtext;18;0;0;18
School;401;4;86;322
Iyashikei;107;1;19;88
Strategy Game;24;0;9;17
Mecha;125;16;68;52
Super Power;114;4;35;84
Vampire;27;0;8;21
Mythology;126;0;36;95
Team Sports;64;1;19;48
Isekai;69;0;14;57
Reincarnation;25;0;1;24
Anthropomorphic;31;2;6;25
Love Polygon;36;1;13;25
Performing Arts;24;0;4;20
Combat Sports;16;3;8;7
Martial Arts;74;6;24;50
Delinquents;11;0;7;4
Workplace;42;0;6;36
Music;137;3;19;117
Organized Crime;17;0;10;8
Otaku Culture;25;1;4;22
CGDCT;62;0;14;48
Showbiz;7;0;5;3
Detective;70;2;39;32
Visual Arts;28;0;11;17
Harem;35;0;7;29
Mahou Shoujo;51;0;22;30
Racing;19;0;13;8
High Stakes Game;8;0;2;6
Video Game;21;0;0;21
Idols (Male);5;0;0;5
Idols (Female);30;0;0;30
Crossdressing;2;0;1;1
Reverse Harem;8;0;7;2
Medical;6;0;4;4
Pets;7;0;3;4
Magical Sex Shift;6;1;6;0
Educational;2;0;0;2
