;ACTION;ADVENTURE;AVANTGARDE;COMEDY;DRAMA;ECCHI;FANTASY;GIRLSLOVE;GOURMET;HORROR;MYSTERY;NONE;ROMANCE;SCIFI;SLICEOFLIFE;SPORTS;SUPERNATURAL;SUSPENSE
Femení;24;20;1;79;96;0;52;5;4;1;3;0;95;3;63;5;33;0
Masculí;351;211;0;400;171;29;175;2;14;23;111;11;112;99;130;109;159;15
Nens/es;13;19;0;14;4;0;17;0;0;0;0;1;0;2;4;0;0;0
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Femení;Masculí;Nens/es;;;;;;;;;;;;;;;
DRAMA;96;171;4;;;;;;;;;;;;;;;
ROMANCE;95;112;0;;;;;;;;;;;;;;;
COMEDY;79;400;14;;;;;;;;;;;;;;;
SLICEOFLIFE;63;130;4;;;;;;;;;;;;;;;
FANTASY;52;175;17;;;;;;;;;;;;;;;
SUPERNATURAL;33;159;0;;;;;;;;;;;;;;;
ACTION;24;351;13;;;;;;;;;;;;;;;
ADVENTURE;20;211;19;;;;;;;;;;;;;;;
GIRLSLOVE;5;2;0;;;;;;;;;;;;;;;
SPORTS;5;109;0;;;;;;;;;;;;;;;
GOURMET;4;14;0;;;;;;;;;;;;;;;
MYSTERY;3;111;0;;;;;;;;;;;;;;;
SCIFI;3;99;2;;;;;;;;;;;;;;;
AVANTGARDE;1;0;0;;;;;;;;;;;;;;;
HORROR;1;23;0;;;;;;;;;;;;;;;
ECCHI;0;29;0;;;;;;;;;;;;;;;
SUSPENSE;0;15;0;;;;;;;;;;;;;;;
